Net Asset Value,NAV date,Fund Name,lag_1,lag_2,lag_3,lag_4,lag_5
0.23098591549295744,2024-05-28,Bank of India Mid Small Cap Fund,0.25774647887323887,0.26338028169014027,0.25211267605633747,0.25352112676056304,0.26478873239436496
0.24788732394366164,2024-05-29,Bank of India Mid Small Cap Fund,0.23098591549295744,0.25774647887323887,0.26338028169014027,0.25211267605633747,0.25352112676056304
0.19859154929577372,2024-05-30,Bank of India Mid Small Cap Fund,0.24788732394366164,0.23098591549295744,0.25774647887323887,0.26338028169014027,0.25211267605633747
0.2549295774647877,2024-05-31,Bank of India Mid Small Cap Fund,0.19859154929577372,0.24788732394366164,0.23098591549295744,0.25774647887323887,0.26338028169014027
0.35633802816901383,2024-06-03,Bank of India Mid Small Cap Fund,0.2549295774647877,0.19859154929577372,0.24788732394366164,0.23098591549295744,0.25774647887323887
0.0,2024-06-04,Bank of India Mid Small Cap Fund,0.35633802816901383,0.2549295774647877,0.19859154929577372,0.24788732394366164,0.23098591549295744
0.11267605633802713,2024-06-05,Bank of India Mid Small Cap Fund,0.0,0.35633802816901383,0.2549295774647877,0.19859154929577372,0.24788732394366164
0.24788732394366164,2024-06-06,Bank of India Mid Small Cap Fund,0.11267605633802713,0.0,0.35633802816901383,0.2549295774647877,0.19859154929577372
0.3295774647887315,2024-06-07,Bank of India Mid Small Cap Fund,0.24788732394366164,0.11267605633802713,0.0,0.35633802816901383,0.2549295774647877
0.37887323943661944,2024-06-10,Bank of India Mid Small Cap Fund,0.3295774647887315,0.24788732394366164,0.11267605633802713,0.0,0.35633802816901383
0.4394366197183093,2024-06-11,Bank of India Mid Small Cap Fund,0.37887323943661944,0.3295774647887315,0.24788732394366164,0.11267605633802713,0.0
0.48028169014084465,2024-06-12,Bank of India Mid Small Cap Fund,0.4394366197183093,0.37887323943661944,0.3295774647887315,0.24788732394366164,0.11267605633802713
0.5098591549295763,2024-06-13,Bank of India Mid Small Cap Fund,0.48028169014084465,0.4394366197183093,0.37887323943661944,0.3295774647887315,0.24788732394366164
0.5464788732394359,2024-06-14,Bank of India Mid Small Cap Fund,0.5098591549295763,0.48028169014084465,0.4394366197183093,0.37887323943661944,0.3295774647887315
0.577464788732394,2024-06-18,Bank of India Mid Small Cap Fund,0.5464788732394359,0.5098591549295763,0.48028169014084465,0.4394366197183093,0.37887323943661944
0.5690140845070415,2024-06-19,Bank of India Mid Small Cap Fund,0.577464788732394,0.5464788732394359,0.5098591549295763,0.48028169014084465,0.4394366197183093
0.5971830985915494,2024-06-20,Bank of India Mid Small Cap Fund,0.5690140845070415,0.577464788732394,0.5464788732394359,0.5098591549295763,0.48028169014084465
0.6028169014084508,2024-06-21,Bank of India Mid Small Cap Fund,0.5971830985915494,0.5690140845070415,0.577464788732394,0.5464788732394359,0.5098591549295763
0.5915492957746471,2024-06-24,Bank of India Mid Small Cap Fund,0.6028169014084508,0.5971830985915494,0.5690140845070415,0.577464788732394,0.5464788732394359
0.5816901408450699,2024-06-25,Bank of India Mid Small Cap Fund,0.5915492957746471,0.6028169014084508,0.5971830985915494,0.5690140845070415,0.577464788732394
0.5985915492957741,2024-06-26,Bank of India Mid Small Cap Fund,0.5816901408450699,0.5915492957746471,0.6028169014084508,0.5971830985915494,0.5690140845070415
0.6084507042253522,2024-06-27,Bank of India Mid Small Cap Fund,0.5985915492957741,0.5816901408450699,0.5915492957746471,0.6028169014084508,0.5971830985915494
0.6436619718309853,2024-06-28,Bank of India Mid Small Cap Fund,0.6084507042253522,0.5985915492957741,0.5816901408450699,0.5915492957746471,0.6028169014084508
0.6957746478873235,2024-07-01,Bank of India Mid Small Cap Fund,0.6436619718309853,0.6084507042253522,0.5985915492957741,0.5816901408450699,0.5915492957746471
0.6788732394366193,2024-07-02,Bank of India Mid Small Cap Fund,0.6957746478873235,0.6436619718309853,0.6084507042253522,0.5985915492957741,0.5816901408450699
0.725352112676056,2024-07-03,Bank of India Mid Small Cap Fund,0.6788732394366193,0.6957746478873235,0.6436619718309853,0.6084507042253522,0.5985915492957741
0.7507042253521119,2024-07-04,Bank of India Mid Small Cap Fund,0.725352112676056,0.6788732394366193,0.6957746478873235,0.6436619718309853,0.6084507042253522
0.7633802816901403,2024-07-05,Bank of India Mid Small Cap Fund,0.7507042253521119,0.725352112676056,0.6788732394366193,0.6957746478873235,0.6436619718309853
0.7450704225352105,2024-07-08,Bank of India Mid Small Cap Fund,0.7633802816901403,0.7507042253521119,0.725352112676056,0.6788732394366193,0.6957746478873235
0.7408450704225347,2024-07-09,Bank of India Mid Small Cap Fund,0.7450704225352105,0.7633802816901403,0.7507042253521119,0.725352112676056,0.6788732394366193
0.7225352112676049,2024-07-10,Bank of India Mid Small Cap Fund,0.7408450704225347,0.7450704225352105,0.7633802816901403,0.7507042253521119,0.725352112676056
0.7521126760563375,2024-07-11,Bank of India Mid Small Cap Fund,0.7225352112676049,0.7408450704225347,0.7450704225352105,0.7633802816901403,0.7507042253521119
0.7788732394366198,2024-07-12,Bank of India Mid Small Cap Fund,0.7521126760563375,0.7225352112676049,0.7408450704225347,0.7450704225352105,0.7633802816901403
0.8169014084507031,2024-07-15,Bank of India Mid Small Cap Fund,0.7788732394366198,0.7521126760563375,0.7225352112676049,0.7408450704225347,0.7450704225352105
0.8126760563380273,2024-07-16,Bank of India Mid Small Cap Fund,0.8169014084507031,0.7788732394366198,0.7521126760563375,0.7225352112676049,0.7408450704225347
0.7507042253521119,2024-07-18,Bank of India Mid Small Cap Fund,0.8126760563380273,0.8169014084507031,0.7788732394366198,0.7521126760563375,0.7225352112676049
0.6521126760563369,2024-07-19,Bank of India Mid Small Cap Fund,0.7507042253521119,0.8126760563380273,0.8169014084507031,0.7788732394366198,0.7521126760563375
0.6887323943661965,2024-07-22,Bank of India Mid Small Cap Fund,0.6521126760563369,0.7507042253521119,0.8126760563380273,0.8169014084507031,0.7788732394366198
0.6563380281690137,2024-07-23,Bank of India Mid Small Cap Fund,0.6887323943661965,0.6521126760563369,0.7507042253521119,0.8126760563380273,0.8169014084507031
0.7521126760563375,2024-07-24,Bank of India Mid Small Cap Fund,0.6563380281690137,0.6887323943661965,0.6521126760563369,0.7507042253521119,0.8126760563380273
0.7408450704225347,2024-07-25,Bank of India Mid Small Cap Fund,0.7521126760563375,0.6563380281690137,0.6887323943661965,0.6521126760563369,0.7507042253521119
0.7873239436619706,2024-07-26,Bank of India Mid Small Cap Fund,0.7408450704225347,0.7521126760563375,0.6563380281690137,0.6887323943661965,0.6521126760563369
0.8309859154929571,2024-07-29,Bank of India Mid Small Cap Fund,0.7873239436619706,0.7408450704225347,0.7521126760563375,0.6563380281690137,0.6887323943661965
0.8549295774647883,2024-07-30,Bank of India Mid Small Cap Fund,0.8309859154929571,0.7873239436619706,0.7408450704225347,0.7521126760563375,0.6563380281690137
0.859154929577465,2024-07-31,Bank of India Mid Small Cap Fund,0.8549295774647883,0.8309859154929571,0.7873239436619706,0.7408450704225347,0.7521126760563375
0.8295774647887324,2024-08-01,Bank of India Mid Small Cap Fund,0.859154929577465,0.8549295774647883,0.8309859154929571,0.7873239436619706,0.7408450704225347
0.7957746478873231,2024-08-02,Bank of India Mid Small Cap Fund,0.8295774647887324,0.859154929577465,0.8549295774647883,0.8309859154929571,0.7873239436619706
0.6211267605633797,2024-08-05,Bank of India Mid Small Cap Fund,0.7957746478873231,0.8295774647887324,0.859154929577465,0.8549295774647883,0.8309859154929571
0.5943661971830982,2024-08-06,Bank of India Mid Small Cap Fund,0.6211267605633797,0.7957746478873231,0.8295774647887324,0.859154929577465,0.8549295774647883
0.7239436619718305,2024-08-07,Bank of India Mid Small Cap Fund,0.5943661971830982,0.6211267605633797,0.7957746478873231,0.8295774647887324,0.859154929577465
0.704225352112676,2024-08-08,Bank of India Mid Small Cap Fund,0.7239436619718305,0.5943661971830982,0.6211267605633797,0.7957746478873231,0.8295774647887324
0.7436619718309858,2024-08-09,Bank of India Mid Small Cap Fund,0.704225352112676,0.7239436619718305,0.5943661971830982,0.6211267605633797,0.7957746478873231
0.7690140845070417,2024-08-12,Bank of India Mid Small Cap Fund,0.7436619718309858,0.704225352112676,0.7239436619718305,0.5943661971830982,0.6211267605633797
0.7436619718309858,2024-08-13,Bank of India Mid Small Cap Fund,0.7690140845070417,0.7436619718309858,0.704225352112676,0.7239436619718305,0.5943661971830982
0.7126760563380268,2024-08-14,Bank of India Mid Small Cap Fund,0.7436619718309858,0.7690140845070417,0.7436619718309858,0.704225352112676,0.7239436619718305
0.8126760563380273,2024-08-16,Bank of India Mid Small Cap Fund,0.7126760563380268,0.7436619718309858,0.7690140845070417,0.7436619718309858,0.704225352112676
0.8549295774647883,2024-08-19,Bank of India Mid Small Cap Fund,0.8126760563380273,0.7126760563380268,0.7436619718309858,0.7690140845070417,0.7436619718309858
0.8661971830985911,2024-08-20,Bank of India Mid Small Cap Fund,0.8549295774647883,0.8126760563380273,0.7126760563380268,0.7436619718309858,0.7690140845070417
0.9183098591549284,2024-08-21,Bank of India Mid Small Cap Fund,0.8661971830985911,0.8549295774647883,0.8126760563380273,0.7126760563380268,0.7436619718309858
0.9309859154929576,2024-08-22,Bank of India Mid Small Cap Fund,0.9183098591549284,0.8661971830985911,0.8549295774647883,0.8126760563380273,0.7126760563380268
